get_annotations:EMD-7336	PDB-CPX-42818	CPX-1639		PDB_ID
get_annotations:EMD-21673	PDB-CPX-43000	CPX-284		PDB_ID
get_annotations:EMD-21674	PDB-CPX-43000	CPX-284		PDB_ID
get_annotations:EMD-21675	PDB-CPX-43000	CPX-284		PDB_ID
get_annotations:EMD-21676	PDB-CPX-43000	CPX-284		PDB_ID
get_annotations:EMD-21677	PDB-CPX-43000	CPX-284		PDB_ID
get_annotations:EMD-21678	PDB-CPX-43000	CPX-284		PDB_ID
get_annotations:EMD-21679	PDB-CPX-43000	CPX-284		PDB_ID
get_annotations:EMD-21680	PDB-CPX-43000	CPX-284		PDB_ID
get_annotations:EMD-21681	PDB-CPX-43000	CPX-284		PDB_ID
get_annotations:EMD-21682	PDB-CPX-43001	CPX-284		PDB_ID
get_annotations:EMD-3352	PDB-CPX-43001	CPX-284		PDB_ID
get_annotations:EMD-3353	PDB-CPX-43001	CPX-284		PDB_ID
get_annotations:EMD-3354	PDB-CPX-43001	CPX-284		PDB_ID
get_annotations:EMD-3355	PDB-CPX-43001	CPX-284		PDB_ID
get_annotations:EMD-3356	PDB-CPX-43001	CPX-284		PDB_ID
get_annotations:EMD-7529	PDB-CPX-43001	CPX-284		PDB_ID
get_annotations:EMD-9147	PDB-CPX-43004	CPX-283		PDB_ID
get_annotations:EMD-9148	PDB-CPX-43004	CPX-283		PDB_ID
get_annotations:EMD-9149	PDB-CPX-43004	CPX-283		PDB_ID
get_annotations:EMD-9150	PDB-CPX-43004	CPX-283		PDB_ID
get_annotations:EMD-9151	PDB-CPX-43004	CPX-283		PDB_ID
get_annotations:EMD-9152	PDB-CPX-43004	CPX-283		PDB_ID
get_annotations:EMD-9153	PDB-CPX-43004	CPX-283		PDB_ID
get_annotations:EMD-9154	PDB-CPX-43004	CPX-283		PDB_ID
get_annotations:EMD-9155	PDB-CPX-43004	CPX-283		PDB_ID
get_annotations:EMD-9156	PDB-CPX-43004	CPX-283		PDB_ID
get_annotations:EMD-9157	PDB-CPX-43004	CPX-283		PDB_ID
get_annotations:EMD-9158	PDB-CPX-43004	CPX-283		PDB_ID
get_annotations:EMD-9159	PDB-CPX-43004	CPX-283		PDB_ID
get_annotations:EMD-9160	PDB-CPX-43004	CPX-283		PDB_ID
get_annotations:EMD-9164	PDB-CPX-43004	CPX-283		PDB_ID
get_annotations:EMD-9165	PDB-CPX-43004	CPX-283		PDB_ID
get_annotations:EMD-1764	PDB-CPX-43033	CPX-3068		PDB_ID
get_annotations:EMD-11050	PDB-CPX-43452	CPX-3621		PDB_ID
get_annotations:EMD-11051	PDB-CPX-43452	CPX-3621		PDB_ID
get_annotations:EMD-11055	PDB-CPX-43452	CPX-3621		PDB_ID
get_annotations:EMD-6940	PDB-CPX-43966	CPX-6245		PDB_ID
get_annotations:EMD-6668	PDB-CPX-44213	CPX-503		PDB_ID
get_annotations:EMD-22123	PDB-CPX-45304	CPX-578		PDB_ID
get_annotations:EMD-22131	PDB-CPX-45304	CPX-578		PDB_ID
get_annotations:EMD-30072	PDB-CPX-46417	CPX-5695		PDB_ID
get_annotations:EMD-6679	PDB-CPX-46417	CPX-5695		PDB_ID
get_annotations:EMD-6703	PDB-CPX-46417	CPX-5695		PDB_ID
get_annotations:EMD-6705	PDB-CPX-46417	CPX-5695		PDB_ID
get_annotations:EMD-6732	PDB-CPX-46417	CPX-5695		PDB_ID
get_annotations:EMD-9588	PDB-CPX-46417	CPX-5695		PDB_ID
get_annotations:EMD-9589	PDB-CPX-46417	CPX-5695		PDB_ID
get_annotations:EMD-20950	PDB-CPX-46553	CPX-2116		PDB_ID
get_annotations:EMD-20962	PDB-CPX-46553	CPX-2116		PDB_ID
get_annotations:EMD-0407	PDB-CPX-47503	CPX-2158		PDB_ID
get_annotations:EMD-0408	PDB-CPX-47503	CPX-2158		PDB_ID
get_annotations:EMD-3488	PDB-CPX-47503	CPX-2158		PDB_ID
get_annotations:EMD-6991	PDB-CPX-48964	CPX-4001		PDB_ID
get_annotations:EMD-9883	PDB-CPX-49783	CPX-928		PDB_ID
get_annotations:EMD-9884	PDB-CPX-49783	CPX-928		PDB_ID
get_annotations:EMD-9885	PDB-CPX-49783	CPX-928		PDB_ID
get_annotations:EMD-9714	PDB-CPX-50219	CPX-2202		PDB_ID
get_annotations:EMD-9715	PDB-CPX-50219	CPX-2202		PDB_ID
get_annotations:EMD-9716	PDB-CPX-50219	CPX-2202		PDB_ID
get_annotations:EMD-9717	PDB-CPX-50219	CPX-2202		PDB_ID
get_annotations:EMD-7338	PDB-CPX-50695	CPX-195		PDB_ID
get_annotations:EMD-7339	PDB-CPX-50695	CPX-195		PDB_ID
get_annotations:EMD-6862	PDB-CPX-51461	CPX-3622		PDB_ID
get_annotations:EMD-11058	PDB-CPX-51799	CPX-5881		PDB_ID
get_annotations:EMD-30040	PDB-CPX-57676	CPX-5684		PDB_ID
get_annotations:EMD-30041	PDB-CPX-57676	CPX-5684		PDB_ID
get_annotations:EMD-0502	PDB-CPX-60743	CPX-2127		PDB_ID
get_annotations:EMD-0093	PDB-CPX-70527	CPX-131		PDB_ID
get_annotations:EMD-0094	PDB-CPX-70527	CPX-131		PDB_ID
map_emdb_to_cpx:EMD-3061	EMD-3061	CPX-2176		EMDB_ID
map_emdb_to_cpx:EMD-2971	EMD-2971	CPX-4244		EMDB_ID
map_emdb_to_cpx:EMD-0109	EMD-0109	CPX-6159		EMDB_ID
map_uniprot_to_cpx:EMD-1831	P05027	CPX-57		UNIPROT
map_uniprot_to_cpx:EMD-1831	P19156	CPX-2195		UNIPROT
